"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2021","71,000.0","69,900.0","74,800.0","69,800.0","7.50K","-5.33%"
"30/12/2021","75,000.0","71,000.0","75,000.0","70,500.0","40.40K","-0.92%"
"29/12/2021","75,700.0","73,800.0","76,500.0","72,700.0","14.40K","0.00%"
"28/12/2021","75,700.0","74,200.0","75,800.0","73,300.0","7.80K","-0.39%"
"27/12/2021","76,000.0","73,700.0","76,000.0","73,700.0","1.30K","-0.78%"
"24/12/2021","76,600.0","74,500.0","76,900.0","74,500.0","2.90K","-1.03%"
"22/12/2021","77,400.0","75,400.0","77,800.0","75,400.0","1.90K","-1.65%"
"21/12/2021","78,700.0","77,700.0","79,500.0","77,700.0","2.40K","1.03%"
"20/12/2021","77,900.0","73,500.0","78,000.0","73,200.0","57.30K","1.17%"
"17/12/2021","77,000.0","75,000.0","77,400.0","74,000.0","16.80K","1.99%"
"16/12/2021","75,500.0","77,100.0","77,900.0","75,500.0","5.70K","-2.08%"
"15/12/2021","77,100.0","77,300.0","77,300.0","75,700.0","35.50K","0.13%"
"14/12/2021","77,000.0","76,000.0","77,700.0","76,000.0","15.10K","-0.39%"
"13/12/2021","77,300.0","75,200.0","77,400.0","75,100.0","5.90K","0.00%"
"10/12/2021","77,300.0","76,000.0","77,900.0","74,800.0","5.00K","1.71%"
"09/12/2021","76,000.0","78,400.0","78,400.0","73,000.0","36.00K","-0.13%"
"08/12/2021","76,100.0","74,100.0","78,300.0","74,100.0","27.20K","-2.93%"
"07/12/2021","78,400.0","77,000.0","78,700.0","75,300.0","115.50K","1.29%"
"06/12/2021","77,400.0","77,800.0","78,000.0","75,800.0","49.10K","-0.39%"
"03/12/2021","77,700.0","76,200.0","78,100.0","76,200.0","21.60K","-0.38%"
"02/12/2021","78,000.0","77,000.0","80,500.0","75,200.0","79.60K","1.04%"
"01/12/2021","77,200.0","80,900.0","81,200.0","77,200.0","6.80K","-4.57%"
"30/11/2021","80,900.0","75,300.0","81,000.0","75,300.0","101.80K","4.25%"
"29/11/2021","77,600.0","76,600.0","78,000.0","73,300.0","74.50K","1.31%"
"26/11/2021","76,600.0","73,000.0","77,900.0","73,000.0","107.70K","3.37%"
"25/11/2021","74,100.0","71,900.0","77,000.0","71,900.0","68.20K","-1.59%"
"24/11/2021","75,300.0","69,700.0","77,900.0","69,700.0","83.20K","3.15%"
"23/11/2021","73,000.0","68,600.0","74,700.0","68,600.0","2.80K","1.39%"
"22/11/2021","72,000.0","67,500.0","76,000.0","67,500.0","2.20K","-0.69%"
"19/11/2021","72,500.0","73,000.0","73,000.0","70,000.0","14.80K","0.00%"
"18/11/2021","72,500.0","70,000.0","76,000.0","70,000.0","16.60K","0.14%"
"17/11/2021","72,400.0","68,200.0","74,000.0","68,200.0","5.60K","0.56%"
"16/11/2021","72,000.0","71,400.0","75,000.0","71,400.0","9.10K","-5.76%"
"15/11/2021","76,400.0","75,000.0","77,800.0","74,000.0","6.10K","-3.17%"
"12/11/2021","78,900.0","79,900.0","79,900.0","74,400.0","22.30K","-1.25%"
"11/11/2021","79,900.0","71,000.0","80,100.0","71,000.0","179.00K","6.68%"
"10/11/2021","74,900.0","73,500.0","76,000.0","70,000.0","43.90K","-0.13%"
"09/11/2021","75,000.0","71,900.0","75,000.0","70,900.0","22.80K","5.49%"
"08/11/2021","71,100.0","69,800.0","71,100.0","68,900.0","39.20K","6.92%"
"05/11/2021","66,500.0","62,400.0","66,500.0","62,400.0","43.90K","6.91%"
"04/11/2021","62,200.0","65,500.0","65,500.0","62,200.0","14.00K","-4.89%"
"03/11/2021","65,400.0","64,500.0","65,500.0","61,500.0","12.10K","0.62%"
"02/11/2021","65,000.0","61,200.0","65,000.0","61,200.0","35.30K","1.72%"
"01/11/2021","63,900.0","62,200.0","63,900.0","60,200.0","131.40K","2.40%"
"29/10/2021","62,400.0","61,500.0","62,500.0","60,200.0","34.10K","1.13%"
"28/10/2021","61,700.0","61,000.0","62,400.0","61,000.0","4.40K","-1.12%"
"27/10/2021","62,400.0","63,000.0","63,000.0","62,000.0","9.40K","0.65%"
"26/10/2021","62,000.0","59,900.0","62,100.0","59,900.0","35.80K","3.68%"
"25/10/2021","59,800.0","60,100.0","61,200.0","59,000.0","17.10K","-2.29%"
"22/10/2021","61,200.0","60,100.0","61,800.0","59,500.0","10.80K","1.83%"
"21/10/2021","60,100.0","60,000.0","62,700.0","59,600.0","13.30K","-1.48%"
"20/10/2021","61,000.0","62,300.0","62,800.0","60,200.0","38.40K","-2.40%"
"19/10/2021","62,500.0","62,000.0","63,000.0","61,500.0","12.20K","-0.79%"
"18/10/2021","63,000.0","60,000.0","63,000.0","60,000.0","112.20K","5.00%"
"15/10/2021","60,000.0","59,400.0","60,000.0","59,100.0","29.30K","1.52%"
"14/10/2021","59,100.0","59,200.0","59,300.0","58,800.0","14.50K","0.17%"
"13/10/2021","59,000.0","58,600.0","59,000.0","58,000.0","27.20K","1.20%"
"12/10/2021","58,300.0","58,900.0","59,000.0","57,400.0","45.80K","0.17%"
"11/10/2021","58,200.0","56,000.0","58,200.0","56,000.0","8.80K","1.39%"
"08/10/2021","57,400.0","56,800.0","57,400.0","55,100.0","26.00K","2.50%"
"07/10/2021","56,000.0","54,000.0","56,500.0","53,600.0","20.60K","1.08%"
"06/10/2021","55,400.0","55,800.0","55,800.0","55,000.0","7.70K","-1.07%"
"05/10/2021","56,000.0","55,400.0","56,500.0","54,500.0","11.80K","2.19%"
"04/10/2021","54,800.0","54,600.0","54,800.0","54,200.0","3.90K","-0.36%"
"01/10/2021","55,000.0","58,500.0","58,500.0","53,100.0","12.90K","-3.51%"
"30/09/2021","57,000.0","54,300.0","57,000.0","54,300.0","17.50K","5.17%"
"29/09/2021","54,200.0","54,000.0","55,600.0","54,000.0","4.40K","-1.81%"
"28/09/2021","55,200.0","54,600.0","55,300.0","53,000.0","8.00K","0.55%"
"27/09/2021","54,900.0","55,400.0","55,400.0","54,000.0","13.50K","-0.90%"
"24/09/2021","55,400.0","55,600.0","55,600.0","55,000.0","11.50K","-0.89%"
"23/09/2021","55,900.0","56,000.0","56,000.0","55,300.0","8.60K","-0.18%"
"22/09/2021","56,000.0","56,400.0","56,500.0","55,700.0","13.40K","-0.88%"
"21/09/2021","56,500.0","56,700.0","56,700.0","55,000.0","9.40K","-0.70%"
"20/09/2021","56,900.0","57,600.0","57,600.0","56,000.0","5.60K","-1.22%"
"17/09/2021","57,600.0","57,000.0","57,600.0","56,800.0","8.60K","0.00%"
"16/09/2021","57,600.0","56,500.0","57,600.0","56,500.0","8.60K","-0.35%"
"15/09/2021","57,800.0","57,100.0","57,800.0","53,800.0","6.00K","1.23%"
"14/09/2021","57,100.0","57,900.0","58,400.0","57,100.0","16.40K","-1.04%"
"13/09/2021","57,700.0","56,800.0","57,700.0","56,300.0","23.10K","-0.35%"
"10/09/2021","57,900.0","57,500.0","59,500.0","56,500.0","5.70K","2.12%"
"09/09/2021","56,700.0","57,600.0","57,600.0","56,700.0","4.30K","-1.22%"
"08/09/2021","57,400.0","56,600.0","57,400.0","56,500.0","0.90K","-0.35%"
"07/09/2021","57,600.0","56,900.0","57,600.0","56,800.0","1.90K","-0.52%"
"06/09/2021","57,900.0","58,000.0","58,000.0","57,000.0","5.10K","-0.17%"
"01/09/2021","58,000.0","59,900.0","59,900.0","57,100.0","9.40K","-1.36%"
"31/08/2021","58,800.0","57,300.0","58,800.0","56,800.0","37.80K","2.62%"
"30/08/2021","57,300.0","55,500.0","57,900.0","55,500.0","22.00K","2.50%"
"27/08/2021","55,900.0","54,500.0","55,900.0","54,000.0","11.80K","2.01%"
"26/08/2021","54,800.0","54,600.0","55,000.0","54,000.0","8.70K","0.37%"
"25/08/2021","54,600.0","54,100.0","55,400.0","54,100.0","6.90K","-1.62%"
"24/08/2021","55,500.0","55,100.0","56,100.0","53,600.0","14.00K","0.73%"
"23/08/2021","55,100.0","55,700.0","55,900.0","55,000.0","2.90K","-1.61%"
"20/08/2021","56,000.0","56,200.0","56,200.0","55,000.0","13.90K","-0.36%"
"19/08/2021","56,200.0","56,300.0","56,400.0","55,900.0","7.70K","-0.18%"
"18/08/2021","56,300.0","56,400.0","56,400.0","56,000.0","2.70K","-0.18%"
"17/08/2021","56,400.0","56,400.0","56,400.0","55,900.0","8.00K","0.18%"
"16/08/2021","56,300.0","56,400.0","56,400.0","56,000.0","7.00K","-0.35%"
"13/08/2021","56,500.0","55,800.0","56,700.0","55,800.0","6.80K","-0.35%"
"12/08/2021","56,700.0","56,800.0","56,800.0","56,500.0","1.60K","-0.18%"
"11/08/2021","56,800.0","55,800.0","56,800.0","55,800.0","9.10K","-0.18%"
"10/08/2021","56,900.0","56,000.0","57,000.0","55,800.0","12.30K","0.00%"
"09/08/2021","56,900.0","56,000.0","56,900.0","55,800.0","12.40K","0.18%"
"06/08/2021","56,800.0","57,200.0","57,200.0","55,700.0","2.30K","0.00%"
"05/08/2021","56,800.0","56,800.0","56,800.0","56,000.0","5.10K","0.00%"
"04/08/2021","56,800.0","57,000.0","57,000.0","56,200.0","4.40K","1.07%"
"03/08/2021","56,200.0","56,300.0","56,900.0","56,200.0","4.60K","-1.23%"
"02/08/2021","56,900.0","56,300.0","58,000.0","56,000.0","4.80K","-1.56%"
"30/07/2021","57,800.0","58,200.0","58,200.0","56,000.0","3.10K","-0.69%"
"29/07/2021","58,200.0","56,300.0","58,200.0","56,300.0","3.70K","1.22%"
"28/07/2021","57,500.0","56,000.0","57,500.0","55,700.0","5.50K","1.23%"
"27/07/2021","56,800.0","57,000.0","57,200.0","56,500.0","17.50K","-0.35%"
"26/07/2021","57,000.0","56,800.0","57,000.0","56,800.0","1.60K","-0.87%"
"23/07/2021","57,500.0","57,600.0","58,000.0","56,000.0","2.40K","-0.69%"
"22/07/2021","57,900.0","56,000.0","58,000.0","55,000.0","6.40K","3.39%"
"21/07/2021","56,000.0","56,200.0","56,200.0","55,000.0","1.80K","-0.36%"
"20/07/2021","56,200.0","54,000.0","56,200.0","53,600.0","6.60K","2.18%"
"19/07/2021","55,000.0","55,500.0","55,500.0","54,600.0","3.00K","-2.48%"
"16/07/2021","56,400.0","54,300.0","56,400.0","54,300.0","5.90K","0.71%"
"15/07/2021","56,000.0","56,000.0","56,900.0","55,800.0","3.30K","0.00%"
"14/07/2021","56,000.0","53,500.0","57,000.0","53,000.0","14.40K","4.67%"
"13/07/2021","53,500.0","57,900.0","57,900.0","52,400.0","11.00K","-3.60%"
"12/07/2021","55,500.0","54,300.0","56,900.0","52,100.0","44.10K","-0.89%"
"09/07/2021","56,000.0","56,100.0","56,300.0","55,100.0","19.20K","-1.75%"
"08/07/2021","57,000.0","56,500.0","59,500.0","56,500.0","17.10K","0.88%"
"07/07/2021","56,500.0","57,800.0","57,800.0","54,600.0","19.20K","-2.25%"
"06/07/2021","57,800.0","59,700.0","59,700.0","57,800.0","25.00K","-1.87%"
"05/07/2021","58,900.0","58,300.0","59,000.0","58,200.0","4.30K","0.17%"
"02/07/2021","58,800.0","59,600.0","59,600.0","58,800.0","30.40K","-1.34%"
"01/07/2021","59,600.0","59,600.0","59,700.0","59,000.0","7.70K","0.00%"